source_index,text,true_labels,predicted_labels,missed_labels,extra_labels,false_negative_count,false_positive_count
4,"Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.",happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
14,"Yesterday was a very productive day at work for me. I finished all of my work for my real-world job very quickly, and was able to also make over $100 on Mechanical Turk, which will help tremendously with getting out from under some past due bills currently weighing on me.","excited, happy, proud","calm, frustrated, happy, proud, satisfied",excited,"calm, frustrated, satisfied",1,3
17,"Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.","angry, frustrated, sad","anxious, excited, frustrated, happy, proud, satisfied","angry, sad","anxious, excited, happy, proud, satisfied",2,5
19,Yesterday my wife and I found out that our infertility treatment will be covered by insurance.,happy,"confused, excited, frustrated, happy, proud, satisfied, surprised",,"confused, excited, frustrated, proud, satisfied, surprised",0,6
26,"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.","happy, satisfied","excited, proud, satisfied",happy,"excited, proud",1,2
28,Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,frustrated,"excited, happy, satisfied",frustrated,"excited, happy, satisfied",1,3
35,"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.",anxious,"anxious, frustrated",,frustrated,0,1
36,"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.","excited, happy, proud","anxious, excited, frustrated, happy, proud, satisfied",,"anxious, frustrated, satisfied",0,3
37,Yesterday I completed 16 surveys. I was satisfied with work.,satisfied,"excited, proud, satisfied",,"excited, proud",0,2
38,Yesterday despite feeling sluggish,"happy, proud, satisfied",satisfied,"happy, proud",,2,0
40,Working being able to use my skills and knowledge for the benefit and growth of our company.,proud,"calm, happy, proud, satisfied",,"calm, happy, satisfied",0,3
46,"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.","bored, frustrated","anxious, bored, calm, excited, frustrated, happy",,"anxious, calm, excited, happy",0,4
50,"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.",satisfied,"calm, happy, proud, satisfied",,"calm, happy, proud",0,3
53,we had such a good time it was nice and felt very nice he was very loving,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
73,Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,"calm, proud","calm, happy, proud",,happy,0,1
75,"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.",proud,"calm, excited, frustrated, proud, satisfied",,"calm, excited, frustrated, satisfied",0,4
87,"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.","anxious, bored, frustrated","anxious, bored, calm, frustrated, happy",,"calm, happy",0,2
89,The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,calm,"calm, happy",,happy,0,1
91,The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,anxious,"calm, excited, happy, proud, satisfied",anxious,"calm, excited, happy, proud, satisfied",1,5
93,the food I made was good and made me happy and enjoy my day,"excited, happy, proud","calm, excited, happy, satisfied",proud,"calm, satisfied",1,2
95,The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,excited,"calm, proud, satisfied",excited,"calm, proud, satisfied",1,3
112,my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,"bored, calm, disgusted","bored, calm, frustrated, proud, satisfied",disgusted,"frustrated, proud, satisfied",1,3
116,My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,happy,"calm, happy, proud, satisfied",,"calm, proud, satisfied",0,3
130,My love life is the best thing that I have going for me in my day to day as i work on my goals. I think I found someone special.,"calm, excited, happy","calm, excited, happy, proud, satisfied",,"proud, satisfied",0,2
131,My husband bought me flowers yesterday for no reason. It was so sweet of him and made me so happy!,"calm, satisfied","calm, excited, happy, proud, satisfied",,"excited, happy, proud",0,3
